,SO term,SO description,SO accession,Display term,IMPACT
0,transcript_ablation,A feature ablation whereby the deleted region includes a transcript feature,SO:0001893,Transcript ablation,"IMPACT: HIGH<br>The variant is assumed to have high (disruptive) impact in the protein, probably causing protein truncation, loss of function or triggering nonsense mediated decay.HIGH"
1,splice_acceptor_variant,A splice variant that changes the 2 base region at the 3' end of an intron,SO:0001574,Splice acceptor variant,"IMPACT: HIGH<br>The variant is assumed to have high (disruptive) impact in the protein, probably causing protein truncation, loss of function or triggering nonsense mediated decay.HIGH"
2,splice_donor_variant,A splice variant that changes the 2 base region at the 5' end of an intron,SO:0001575,Splice donor variant,"IMPACT: HIGH<br>The variant is assumed to have high (disruptive) impact in the protein, probably causing protein truncation, loss of function or triggering nonsense mediated decay.HIGH"
3,stop_gained,"A sequence variant whereby at least one base of a codon is changed, resulting in a premature stop codon, leading to a shortened transcript",SO:0001587,Stop gained,"IMPACT: HIGH<br>The variant is assumed to have high (disruptive) impact in the protein, probably causing protein truncation, loss of function or triggering nonsense mediated decay.HIGH"
4,frameshift_variant,"A sequence variant which causes a disruption of the translational reading frame, because the number of nucleotides inserted or deleted is not a multiple of three",SO:0001589,Frameshift variant,"IMPACT: HIGH<br>The variant is assumed to have high (disruptive) impact in the protein, probably causing protein truncation, loss of function or triggering nonsense mediated decay.HIGH"
5,stop_lost,"A sequence variant where at least one base of the terminator codon (stop) is changed, resulting in an elongated transcript",SO:0001578,Stop lost,"IMPACT: HIGH<br>The variant is assumed to have high (disruptive) impact in the protein, probably causing protein truncation, loss of function or triggering nonsense mediated decay.HIGH"
6,start_lost,A codon variant that changes at least one base of the canonical start codon,SO:0002012,Start lost,"IMPACT: HIGH<br>The variant is assumed to have high (disruptive) impact in the protein, probably causing protein truncation, loss of function or triggering nonsense mediated decay.HIGH"
7,transcript_amplification,A feature amplification of a region containing a transcript,SO:0001889,Transcript amplification,"IMPACT: HIGH<br>The variant is assumed to have high (disruptive) impact in the protein, probably causing protein truncation, loss of function or triggering nonsense mediated decay.HIGH"
8,inframe_insertion,An inframe non synonymous variant that inserts bases into in the coding sequence,SO:0001821,Inframe insertion,IMPACT: MODERATE<br>A non-disruptive variant that might change protein effectiveness.MODERATE
9,inframe_deletion,An inframe non synonymous variant that deletes bases from the coding sequence,SO:0001822,Inframe deletion,IMPACT: MODERATE<br>A non-disruptive variant that might change protein effectiveness.MODERATE
10,missense_variant,"A sequence variant, that changes one or more bases, resulting in a different amino acid sequence but where the length is preserved",SO:0001583,Missense variant,IMPACT: MODERATE<br>A non-disruptive variant that might change protein effectiveness.MODERATE
11,protein_altering_variant,A sequence_variant which is predicted to change the protein encoded in the coding sequence,SO:0001818,Protein altering variant,IMPACT: MODERATE<br>A non-disruptive variant that might change protein effectiveness.MODERATE
12,splice_region_variant,"A sequence variant in which a change has occurred within the region of the splice site, either within 1-3 bases of the exon or 3-8 bases of the intron",SO:0001630,Splice region variant,IMPACT: LOW<br>Assumed to be mostly harmless or unlikely to change protein behaviour.LOW
13,incomplete_terminal_codon_variant,A sequence variant where at least one base of the final codon of an incompletely annotated transcript is changed,SO:0001626,Incomplete terminal codon variant,IMPACT: LOW<br>Assumed to be mostly harmless or unlikely to change protein behaviour.LOW
14,start_retained_variant,"A sequence variant where at least one base in the start codon is changed, but the start remains",SO:0002019,Start retained variant,IMPACT: LOW<br>Assumed to be mostly harmless or unlikely to change protein behaviour.LOW
